CustomerID,Annual Income (k$),Spending Score (1-100),Cluster
0,59.9,58,0
1,48.4,37,0
2,70.5,26,0
3,81.1,30,0
4,42.1,58,2
5,36.7,73,2
6,90.4,34,0
7,74.8,35,0
8,42.3,43,2
9,48.6,61,2
10,21.2,52,2
11,47.2,67,2
12,45.4,48,2
13,15,78,2
14,25.9,65,2
15,35.3,54,2
16,39.7,49,2
17,55.9,43,0
18,38.5,59,2
19,15,64,2
20,89,23,1
21,44.1,51,2
22,44.4,52,2
23,26.9,37,2
24,24.2,65,2
25,50.7,39,0
26,21.2,50,2
27,40.2,36,2
28,24.4,42,2
29,50.9,36,0
30,31.6,50,2
31,99.1,42,0
32,41.3,48,2
33,17.5,65,2
34,62.1,46,0
35,37.5,56,2
36,48,49,2
37,15,50,2
38,27.1,73,2
39,53.2,66,2
40,87.7,16,1
41,59,35,0
42,40.9,51,2
43,31.4,48,2
44,20.7,66,2
45,36.9,48,2
46,30.7,79,2
47,64.9,53,0
48,53.8,49,0
49,20,71,2
50,51.3,59,2
51,34.1,51,2
52,34.8,48,2
53,70,41,0
54,82.3,42,0
55,77.7,37,0
56,18.2,47,2
57,34.6,48,2
58,39,52,2
59,70.5,38,0
60,37.7,75,2
61,32.2,43,2
62,22,66,2
63,19.6,77,2
64,80.9,57,0
65,77.7,30,0
66,38,59,2
67,79.1,41,0
68,46.6,52,2
69,34.4,55,2
70,64.4,47,0
71,89.1,3,1
72,35.2,62,2
73,98.1,26,1
74,21.5,56,2
75,62.8,62,0
76,54,41,0
77,54.3,44,0
78,38.4,74,2
79,15,53,2
80,50.1,44,2
81,53.2,46,0
82,86.9,38,0
83,41.1,56,2
84,37.9,42,2
85,27.8,54,2
86,84.3,27,0
87,60.4,44,0
88,36.6,60,2
89,52.5,52,2
90,35.2,37,2
91,69.3,50,0
92,39.4,57,2
93,39.7,68,2
94,49.2,55,2
95,21.3,72,2
96,53.7,52,2
97,41,66,2
98,45.4,57,2
99,40.6,53,2
100,27.6,81,2
101,37.2,64,2
102,39.1,60,2
103,41.4,41,2
104,40.3,41,2
106,104.9,21,1
107,58.5,40,0
108,38.9,55,2
109,49.3,66,2
110,15,69,2
111,47.7,39,2
112,48,49,2
113,97.7,10,1
114,35.7,52,2
115,43.7,47,2
116,38.3,49,2
118,77.5,34,0
119,78.7,30,0
120,79.7,6,1
121,44.9,72,2
122,79.5,44,0
123,27.7,54,2
124,80,36,0
125,100.1,8,1
126,31.8,74,2
127,42.5,72,2
128,51.3,50,2
129,28.5,69,2
130,31,58,2
131,54.5,34,0
132,25.1,56,2
133,53.1,48,2
134,38.5,50,2
135,82.7,29,0
136,43.4,52,2
137,59.1,45,0
138,66.2,41,0
139,16.6,52,2
140,51.6,41,0
141,87.6,18,1
142,20.4,70,2
143,59,25,0
144,38.5,65,2
145,74.8,52,0
146,22.8,57,2
147,39.6,27,2
148,68.7,37,0
149,43.1,51,2
150,44.8,41,2
151,57.9,40,0
152,33.5,72,2
153,48.8,56,2
154,49.4,40,0
155,19.4,46,2
156,84.7,25,0
157,47.3,47,2
158,23.7,65,2
159,82.1,30,0
160,21.1,66,2
161,87.9,52,0
162,84.9,40,0
163,30.8,57,2
164,86.4,30,0
165,53.7,44,0
166,81.7,46,0
167,92.6,19,1
168,39.3,55,2
169,29.9,59,2
170,24.3,55,2
171,26.4,46,2
172,67.4,46,0
173,61,44,0
174,38.4,59,2
175,70,34,0
176,49.5,62,2
177,85.6,21,1
178,46.4,68,2
179,88.8,2,1
180,68.2,45,0
181,35.6,60,2
182,30.1,50,2
183,35,59,2
184,40.2,67,2
185,73.9,16,0
186,54.2,52,2
188,35.9,46,2
189,21.5,77,2
190,45.8,46,2
191,82.5,22,0
192,52.6,46,0
193,32.5,77,2
194,63.9,25,0
195,42,41,2
196,36.8,70,2
197,40,72,2
198,50,48,2
199,22.1,48,2
200,47.7,71,2
201,50.4,64,2
202,87.2,38,0
203,79.7,27,0
204,15.8,62,2
205,31.6,56,2
206,47.1,53,2
207,42.7,66,2
208,51.1,57,2
209,98.9,1,1
210,86,47,0
211,82.6,36,0
212,59,50,0
213,66.6,56,0
214,48.4,39,0
215,94.2,30,1
216,22.1,56,2
217,27,43,2
218,53.4,52,2
219,50.5,74,2
220,86.7,5,1
221,22.9,59,2
222,53.1,53,2
223,22.2,61,2
224,41,52,2
225,82.8,20,0
226,39.3,56,2
227,30.1,50,2
228,27.4,37,2
229,76.1,50,0
230,27.6,69,2
231,45.9,51,2
232,37.6,57,2
233,41.8,64,2
234,90.3,26,1
235,65.1,51,0
236,17.1,58,2
237,35.8,68,2
238,34.2,60,2
239,66,43,0
240,55.8,35,0
241,34.9,59,2
242,64.5,34,0
243,87,26,0
244,29.8,49,2
245,54.3,38,0
246,41.4,75,2
247,39.7,67,2
248,80.3,50,0
249,60.8,32,0
250,36.4,56,2
251,71.7,26,0
252,81.5,21,0
253,71.5,29,0
254,17.6,74,2
255,37.9,51,2
256,83.1,43,0
257,31.1,64,2
258,52.5,70,2
259,76.4,22,0
260,39.8,67,2
261,27.6,70,2
262,15,51,2
263,32.9,67,2
264,51.6,53,2
265,23.7,58,2
266,68.1,28,0
267,30.8,50,2
268,33.3,77,2
269,37.9,54,2
270,74.8,42,0
271,24.3,52,2
272,72.6,29,0
273,28,69,2
274,38.4,41,2
275,63,39,0
276,54.4,48,0
277,27.5,60,2
278,45.8,49,2
279,40.1,58,2
280,52.2,55,2
281,90.9,39,0
282,79.6,22,0
283,28.3,55,2
284,92.7,35,0
286,49.4,36,0
287,68.7,44,0
288,49.9,29,0
289,47.9,51,2
290,45.3,71,2
291,31.5,48,2
292,47.8,43,2
293,85.2,41,0
294,47.5,34,0
295,31,51,2
296,78,42,0
297,52.9,42,0
298,71.6,36,0
299,77.2,45,0
300,46.6,55,2
301,47,54,2
302,68.1,37,0
303,79.2,40,0
304,37.3,53,2
305,50.6,54,2
306,93.2,23,1
307,34.9,54,2
308,46,40,2
309,36.8,55,2
310,33.3,48,2
311,72.7,26,0
312,69.3,42,0
313,66.9,42,0
314,84.7,39,0
315,52.8,44,0
316,65.2,46,0
317,54.2,54,2
318,55.1,51,0
319,52,41,0
320,42.1,54,2
321,75,42,0
322,24.3,60,2
323,104.9,1,1
324,32.6,58,2
325,32,79,2
326,74,33,0
327,63.6,35,0
328,63.8,46,0
329,59,48,0
330,49.3,62,2
331,22.1,49,2
332,54.2,55,2
333,26.7,65,2
334,83.6,32,0
335,48.8,54,2
336,27.4,69,2
337,44.9,61,2
338,53.1,36,0
339,32.3,65,2
340,24.9,59,2
341,33.5,56,2
342,52,49,2
343,25.9,58,2
344,39.2,66,2
345,47.1,49,2
346,29.4,46,2
347,23.4,56,2
348,32.2,59,2
349,47.9,63,2
350,51.9,54,2
351,90.7,19,1
352,74.6,62,0
353,31.5,60,2
354,51.7,62,2
355,36.1,54,2
356,37.5,60,2
357,40,62,2
358,50.7,61,2
359,31.9,68,2
360,55.5,55,2
361,103.3,20,1
362,52.5,43,0
363,40.5,56,2
364,78.9,45,0
365,50.8,47,2
366,52.3,59,2
367,54.3,62,2
368,63.5,35,0
369,43,44,2
370,47.6,49,2
371,61.2,47,0
372,86.7,24,0
373,84.7,46,0
374,87.7,29,0
375,47.3,51,2
376,72.2,24,0
377,59.7,32,0
378,86.1,28,0
379,23.6,39,2
380,35.9,66,2
381,19.8,60,2
382,20,92,2
383,45.5,75,2
384,30.1,56,2
385,48.4,49,2
386,66.6,52,0
387,82.3,46,0
388,70.2,22,0
389,48.5,33,0
390,48.7,44,2
392,33.9,61,2
393,102.4,32,1
394,72.7,25,0
395,34.5,33,2
396,30.2,65,2
397,92.1,20,1
398,48.3,30,0
399,70,39,0
400,38.1,61,2
401,32.4,56,2
402,42.9,48,2
403,48.3,49,2
404,50.8,46,2
405,85,21,1
406,32.7,49,2
407,47.5,56,2
408,47.7,53,2
409,57.3,47,0
410,46.5,39,2
411,27,57,2
412,25.9,37,2
413,71.9,39,0
414,54.1,61,2
415,33.2,42,2
416,82.7,25,0
417,60,49,0
418,69.8,51,0
419,46.2,46,2
420,91.4,18,1
421,89.1,7,1
422,43.6,53,2
423,73.7,58,0
424,68.6,43,0
425,92,28,1
426,36.2,59,2
427,66.9,41,0
428,82.5,25,0
429,15.3,70,2
430,31.4,59,2
431,23.4,58,2
432,41.7,43,2
433,74.2,51,0
434,78.7,39,0
435,45.8,45,2
436,82.6,40,0
437,19.8,56,2
438,19,53,2
439,33.2,49,2
440,47.1,32,0
441,43.3,57,2
442,15,43,2
443,41.9,41,2
444,27.1,38,2
445,70,39,0
446,58,44,0
447,26,56,2
448,28.8,48,2
449,22.9,49,2
450,39.9,58,2
451,64.9,35,0
452,25,63,2
453,42.4,43,2
454,34.8,58,2
455,36.3,68,2
456,48.6,56,2
457,26.7,55,2
458,35.1,59,2
459,20.2,59,2
460,90.2,25,1
461,38.8,51,2
462,39.4,53,2
463,34.9,57,2
464,40.9,43,2
465,44.4,42,2
466,80.6,22,0
467,92.6,15,1
468,41.2,41,2
469,28.6,60,2
470,41.2,44,2
471,15,66,2
472,23.4,60,2
473,76.3,15,0
474,83.4,37,0
475,37.6,63,2
476,66.3,32,0
477,44.1,56,2
478,127.6,1,1
479,78.7,36,0
480,58.5,34,0
481,37.7,37,2
482,26.1,54,2
483,52.1,47,2
484,38,51,2
485,15,51,2
486,34.4,52,2
487,36.2,58,2
488,82.5,30,0
489,58.7,45,0
490,45.2,45,2
491,98,37,1
492,57.4,35,0
493,32.5,62,2
494,89.3,40,0
495,49.9,53,2
496,17.6,61,2
497,34.6,51,2
498,45.5,62,2
499,23.6,46,2
500,68.2,30,0
501,87,23,1
502,41,65,2
503,83.2,39,0
504,54.4,39,0
505,37.1,52,2
506,39,48,2
507,20.9,54,2
508,57.4,56,2
509,23.7,47,2
510,50.9,65,2
511,36.8,63,2
512,37.3,66,2
513,26.3,55,2
514,31.7,56,2
515,69.2,26,0
516,48.4,44,2
517,37.9,60,2
518,38.6,67,2
519,77.8,25,0
520,31.9,52,2
521,48.7,47,2
522,30.9,44,2
523,66.5,47,0
524,44.2,45,2
525,22,58,2
526,18,57,2
527,49.5,42,2
528,40.4,53,2
529,38.5,52,2
530,79.4,33,0
531,19.7,54,2
532,37.1,58,2
533,20.5,78,2
534,40.9,55,2
535,55.4,57,2
536,27.9,45,2
537,43.9,54,2
538,56.8,33,0
539,31.9,42,2
540,79.5,28,0
541,22.1,73,2
542,45.3,60,2
543,75.8,36,0
544,17.3,45,2
545,33.3,55,2
546,56.5,48,0
547,25,62,2
548,46.1,32,0
549,40.3,45,2
550,25.4,58,2
551,39.8,59,2
552,68.5,17,0
553,60.3,43,0
554,47.9,51,2
555,43.3,61,2
556,39.5,61,2
557,23.2,66,2
558,57.1,38,0
559,41.9,34,2
560,53.3,44,0
561,120.8,22,1
562,55.2,59,2
563,54,55,2
564,79.1,38,0
565,42.5,57,2
566,16.4,55,2
567,27.8,57,2
568,15,79,2
569,42.8,43,2
570,33.5,72,2
571,92.2,23,1
572,47.7,63,2
573,33,43,2
574,63.6,48,0
575,25.1,50,2
576,44.9,37,2
577,85.4,36,0
578,18.2,72,2
579,85.4,23,0
580,56.5,31,0
581,55,47,0
582,64.3,41,0
583,95.2,27,1
584,48.2,59,2
585,59.6,45,0
586,32.6,75,2
587,39,57,2
588,66.3,37,0
589,32.5,41,2
590,48.1,47,2
591,40.4,50,2
592,51.9,57,2
593,52.7,52,2
594,93.1,18,1
595,46.3,53,2
596,49,57,2
597,27.6,74,2
598,31.3,66,2
599,58.6,53,0
600,91.6,32,0
601,44.8,56,2
602,69.6,52,0
603,80.9,19,0
604,37.9,50,2
605,85,20,1
606,42.8,57,2
607,23.9,72,2
608,25.5,52,2
609,79,9,1
610,75.3,34,0
611,36.4,64,2
612,49.9,54,2
613,15,68,2
614,100.7,14,1
615,34.4,43,2
616,57,52,0
617,83.9,26,0
618,56.5,68,2
619,61.4,50,0
620,27.2,53,2
621,66.8,36,0
622,84.4,27,0
623,94.2,25,1
624,98.4,35,1
625,29.5,60,2
626,24.6,53,2
627,38.9,73,2
628,41.4,53,2
629,71.6,45,0
630,30.2,50,2
631,80.6,36,0
632,46.6,54,2
633,35.6,37,2
634,16.6,83,2
635,24.4,72,2
636,60.9,39,0
637,46.9,39,2
638,16.7,66,2
639,43.5,53,2
640,47.5,54,2
641,82.9,32,0
642,52.1,54,2
643,17.2,77,2
644,46.3,57,2
645,43.6,42,2
646,17.1,74,2
647,55.8,64,2
648,47.9,82,2
649,78,25,0
650,79.1,33,0
651,71.7,17,0
652,41,59,2
653,30.1,52,2
655,64.9,36,0
656,57.7,30,0
657,50.4,45,2
658,49.8,29,0
659,42.1,60,2
660,29,38,2
661,39,55,2
662,47.7,30,0
663,28.5,55,2
664,37.5,71,2
665,46.2,54,2
666,26.7,51,2
667,74.6,34,0
668,15,61,2
669,90.4,35,0
670,73.6,22,0
671,15,67,2
672,44.1,25,0
673,27.8,53,2
674,34.5,51,2
675,31,64,2
676,28.7,58,2
677,92.6,12,1
678,59.1,34,0
679,62.7,42,0
680,70.9,38,0
681,37.7,49,2
683,30.1,63,2
684,24,55,2
685,69.6,39,0
686,51.6,71,2
687,36.5,41,2
688,74.9,19,0
689,62,51,0
691,74.6,33,0
692,30.9,50,2
693,79.4,34,0
694,66.6,57,0
695,42.3,61,2
696,31.1,65,2
697,22.3,46,2
698,79.2,24,0
699,35.9,27,2
700,38.9,46,2
701,92.4,39,0
702,32.1,62,2
